dynamic,0,0,1,2
dynamic,0,1,1,0
dynamic,0,2,0,1
dynamic,0,3,2,63
dynamic,0,4,0,5
dynamic,0,5,2,60
dynamic,0,6,0,1
dynamic,0,7,0,0
dynamic,0,8,0,0
dynamic,0,9,1,3
dynamic,1,0,0,1
dynamic,1,1,0,1
dynamic,1,2,0,1
dynamic,1,3,1,1
dynamic,1,4,0,2
dynamic,1,5,0,5
dynamic,1,6,1,6
dynamic,1,7,0,1
dynamic,1,8,2,103
dynamic,1,9,1,4
dynamic,2,0,0,0
dynamic,2,1,0,0
dynamic,2,2,1,2
dynamic,2,3,0,0
dynamic,2,4,0,0
dynamic,2,5,0,0
dynamic,2,6,1,7
dynamic,2,7,1,1
dynamic,2,8,1,0
dynamic,2,9,1,10
dynamic,3,0,0,0
dynamic,3,1,0,0
dynamic,3,2,1,0
dynamic,3,3,0,0
dynamic,3,4,1,1
dynamic,3,5,0,0
dynamic,3,6,0,0
dynamic,3,7,1,1
dynamic,3,8,0,0
dynamic,3,9,1,0
dynamic,4,0,1,16
dynamic,4,1,0,29
dynamic,4,2,0,25
dynamic,4,3,0,15
dynamic,4,4,1,24
dynamic,4,5,1,25
dynamic,4,6,1,20
dynamic,4,7,0,17
dynamic,4,8,0,20
dynamic,4,9,0,12
dynamic,5,0,0,0
dynamic,5,1,0,0
dynamic,5,2,0,0
dynamic,5,3,0,0
dynamic,5,4,0,0
dynamic,5,5,0,0
dynamic,5,6,0,0
dynamic,5,7,0,0
dynamic,5,8,0,0
dynamic,5,9,0,0
dynamic,6,0,0,2
dynamic,6,1,0,1
dynamic,6,2,2,81
dynamic,6,3,0,0
dynamic,6,4,0,4
dynamic,6,5,1,9
dynamic,6,6,0,8
dynamic,6,7,0,3
dynamic,6,8,0,1
dynamic,6,9,0,0
dynamic,7,0,0,30
dynamic,7,1,0,28
dynamic,7,2,0,17
dynamic,7,3,0,20
dynamic,7,4,0,18
dynamic,7,5,0,32
dynamic,7,6,0,24
dynamic,7,7,0,24
dynamic,7,8,1,29
dynamic,7,9,1,15
dynamic,8,0,0,1
dynamic,8,1,0,2
dynamic,8,2,0,5
dynamic,8,3,0,3
dynamic,8,4,0,5
dynamic,8,5,0,1
dynamic,8,6,0,2
dynamic,8,7,0,6
dynamic,8,8,2,64
dynamic,8,9,2,44
dynamic,9,0,0,0
dynamic,9,1,1,0
dynamic,9,2,0,0
dynamic,9,3,0,0
dynamic,9,4,0,0
dynamic,9,5,0,0
dynamic,9,6,0,0
dynamic,9,7,0,0
dynamic,9,8,2,22
dynamic,9,9,0,0
dynamic,10,0,0,0
dynamic,10,1,0,0
dynamic,10,2,0,0
dynamic,10,3,0,0
dynamic,10,4,0,0
dynamic,10,5,0,0
dynamic,10,6,1,0
dynamic,10,7,1,1
dynamic,10,8,0,0
dynamic,10,9,0,0
dynamic,11,0,0,0
dynamic,11,1,0,0
dynamic,11,2,0,0
dynamic,11,3,0,0
dynamic,11,4,1,0
dynamic,11,5,0,0
dynamic,11,6,0,0
dynamic,11,7,0,0
dynamic,11,8,0,0
dynamic,11,9,2,19
dynamic,12,0,0,0
dynamic,12,1,0,0
dynamic,12,2,2,34
dynamic,12,3,0,0
dynamic,12,4,0,0
dynamic,12,5,0,0
dynamic,12,6,0,0
dynamic,12,7,1,0
dynamic,12,8,0,0
dynamic,12,9,0,0
dynamic,13,0,0,0
dynamic,13,1,1,0
dynamic,13,2,1,0
dynamic,13,3,0,0
dynamic,13,4,0,0
dynamic,13,5,1,0
dynamic,13,6,1,0
dynamic,13,7,2,36
dynamic,13,8,0,0
dynamic,13,9,0,0
dynamic,14,0,0,0
