Day:0
62, (12,13)
70, (7,11)
71, (7,14)
73, (7,17)
80, (4,19)
82, (3,17)
84, (3,11)
88, (4,17)
89, (3,9)
91, (2,15)
93, (1,17)
94, (5,10)
95, (1,13)
96, (3,18)
97, (2,11)
99, (5,8)

Day:45
2, (5,2)
3, (0,2)
4, (4,1)
8, (5,7)
11, (5,7)
12, (4,4)
13, (0,4)
14, (1,1)
15, (8,1)
37, (19,5)
53, (16,15)
62, (12,13)
70, (7,11)
71, (7,14)
73, (7,17)
80, (4,19)
82, (3,17)
84, (3,11)
89, (3,9)
94, (5,10)

Day:46
4, (4,1)
14, (1,1)
15, (8,1)
21, (12,5)
22, (19,0)
23, (15,1)
24, (15,1)
25, (13,2)
28, (11,1)
30, (18,4)
33, (13,7)
34, (12,0)
35, (14,1)
36, (14,7)
37, (19,5)
40, (15,11)
44, (16,12)
55, (18,17)
84, (3,11)
94, (5,10)

Day:47
8, (5,7)
15, (8,1)
21, (12,5)
36, (14,7)
37, (19,5)
40, (15,11)
41, (17,17)
44, (16,12)
46, (16,13)
49, (14,12)
53, (16,15)
55, (18,17)
56, (13,16)
58, (15,13)
62, (12,13)
71, (7,14)
73, (7,17)
80, (4,19)
82, (3,17)
89, (3,9)

Day:48
4, (4,1)
14, (1,1)
36, (14,7)
37, (19,5)
40, (15,11)
46, (16,13)
49, (14,12)
53, (16,15)
55, (18,17)
62, (12,13)
63, (10,16)
67, (6,9)
69, (6,8)
70, (7,11)
71, (7,14)
72, (11,14)
73, (7,17)
74, (12,19)
79, (11,19)
84, (3,11)

Day:49
15, (8,1)
21, (12,5)
40, (15,11)
41, (17,17)
49, (14,12)
62, (12,13)
70, (7,11)
71, (7,14)
73, (7,17)
76, (10,9)
80, (4,19)
82, (3,17)
84, (3,11)
88, (4,17)
89, (3,9)
90, (2,14)
91, (2,15)
94, (5,10)
95, (1,13)
99, (5,8)

Day:50
2, (5,2)
3, (0,2)
4, (4,1)
8, (5,7)
11, (5,7)
12, (4,4)
13, (0,4)
14, (1,1)
15, (8,1)
19, (0,0)
37, (19,5)
55, (18,17)
62, (12,13)
70, (7,11)
71, (7,14)
80, (4,19)
82, (3,17)
84, (3,11)
89, (3,9)
94, (5,10)

Day:51
4, (4,1)
14, (1,1)
15, (8,1)
21, (12,5)
23, (15,1)
24, (15,1)
25, (13,2)
28, (11,1)
29, (17,7)
30, (18,4)
33, (13,7)
35, (14,1)
36, (14,7)
37, (19,5)
40, (15,11)
44, (16,12)
46, (16,13)
49, (14,12)
53, (16,15)
84, (3,11)

Day:52
4, (4,1)
15, (8,1)
21, (12,5)
36, (14,7)
37, (19,5)
40, (15,11)
41, (17,17)
44, (16,12)
46, (16,13)
49, (14,12)
53, (16,15)
55, (18,17)
58, (15,13)
62, (12,13)
70, (7,11)
71, (7,14)
80, (4,19)
82, (3,17)
89, (3,9)
94, (5,10)

Day:53
8, (5,7)
22, (19,0)
36, (14,7)
37, (19,5)
40, (15,11)
44, (16,12)
46, (16,13)
49, (14,12)
53, (16,15)
55, (18,17)
62, (12,13)
63, (10,16)
69, (6,8)
70, (7,11)
71, (7,14)
72, (11,14)
73, (7,17)
74, (12,19)
84, (3,11)
93, (1,17)

Day:54
21, (12,5)
40, (15,11)
49, (14,12)
62, (12,13)
70, (7,11)
71, (7,14)
73, (7,17)
76, (10,9)
80, (4,19)
82, (3,17)
84, (3,11)
88, (4,17)
89, (3,9)
90, (2,14)
91, (2,15)
94, (5,10)
95, (1,13)
96, (3,18)
97, (2,11)
99, (5,8)

Day:55
2, (5,2)
3, (0,2)
4, (4,1)
8, (5,7)
11, (5,7)
12, (4,4)
13, (0,4)
14, (1,1)
15, (8,1)
41, (17,17)
46, (16,13)
53, (16,15)
62, (12,13)
67, (6,9)
71, (7,14)
80, (4,19)
82, (3,17)
84, (3,11)
89, (3,9)
94, (5,10)

Day:56
4, (4,1)
14, (1,1)
15, (8,1)
21, (12,5)
23, (15,1)
24, (15,1)
25, (13,2)
30, (18,4)
33, (13,7)
34, (12,0)
35, (14,1)
36, (14,7)
37, (19,5)
40, (15,11)
44, (16,12)
55, (18,17)
70, (7,11)
73, (7,17)
84, (3,11)
94, (5,10)

Day:57
4, (4,1)
8, (5,7)
21, (12,5)
36, (14,7)
37, (19,5)
40, (15,11)
41, (17,17)
44, (16,12)
46, (16,13)
49, (14,12)
53, (16,15)
55, (18,17)
56, (13,16)
58, (15,13)
62, (12,13)
63, (10,16)
69, (6,8)
71, (7,14)
72, (11,14)
80, (4,19)

Day:58
14, (1,1)
15, (8,1)
36, (14,7)
37, (19,5)
40, (15,11)
41, (17,17)
46, (16,13)
49, (14,12)
53, (16,15)
55, (18,17)
62, (12,13)
70, (7,11)
71, (7,14)
73, (7,17)
74, (12,19)
76, (10,9)
79, (11,19)
84, (3,11)
89, (3,9)
94, (5,10)

Day:59
21, (12,5)
40, (15,11)
44, (16,12)
49, (14,12)
53, (16,15)
55, (18,17)
62, (12,13)
70, (7,11)
71, (7,14)
73, (7,17)
80, (4,19)
82, (3,17)
84, (3,11)
88, (4,17)
89, (3,9)
91, (2,15)
93, (1,17)
94, (5,10)
95, (1,13)
99, (5,8)

Day:60
2, (5,2)
3, (0,2)
4, (4,1)
8, (5,7)
11, (5,7)
12, (4,4)
13, (0,4)
14, (1,1)
15, (8,1)
19, (0,0)
37, (19,5)
62, (12,13)
70, (7,11)
71, (7,14)
73, (7,17)
80, (4,19)
82, (3,17)
84, (3,11)
89, (3,9)
94, (5,10)

Day:61
4, (4,1)
8, (5,7)
14, (1,1)
15, (8,1)
21, (12,5)
22, (19,0)
23, (15,1)
24, (15,1)
25, (13,2)
28, (11,1)
29, (17,7)
30, (18,4)
33, (13,7)
35, (14,1)
36, (14,7)
37, (19,5)
49, (14,12)
53, (16,15)
84, (3,11)
94, (5,10)

Day:62
4, (4,1)
14, (1,1)
21, (12,5)
36, (14,7)
37, (19,5)
40, (15,11)
41, (17,17)
44, (16,12)
46, (16,13)
49, (14,12)
53, (16,15)
55, (18,17)
58, (15,13)
62, (12,13)
69, (6,8)
71, (7,14)
73, (7,17)
80, (4,19)
82, (3,17)
89, (3,9)

Day:63
15, (8,1)
21, (12,5)
36, (14,7)
37, (19,5)
40, (15,11)
46, (16,13)
49, (14,12)
53, (16,15)
55, (18,17)
62, (12,13)
63, (10,16)
67, (6,9)
70, (7,11)
71, (7,14)
72, (11,14)
73, (7,17)
74, (12,19)
76, (10,9)
79, (11,19)
84, (3,11)

Day:64
40, (15,11)
53, (16,15)
55, (18,17)
62, (12,13)
70, (7,11)
71, (7,14)
73, (7,17)
80, (4,19)
82, (3,17)
84, (3,11)
88, (4,17)
89, (3,9)
90, (2,14)
91, (2,15)
93, (1,17)
