day,time_static,time_dynamic
0,134,134
1,132,132
2,138,138
3,140,140
4,162,162
5,134,134
6,132,142
7,138,146
8,140,166
9,162,126
10,134,140
11,132,158
12,138,144
13,140,152
14,162,132
15,134,136
16,132,146
17,138,122
18,140,152
19,162,126
20,134,122
21,132,158
22,138,134
23,140,140
24,162,140
25,134,142
26,132,162
27,138,142
28,140,156
29,162,156
30,134,160
31,132,158
32,138,126
33,140,146
34,162,126
35,134,126
36,132,156
37,138,128
38,140,162
39,162,154
40,134,130
41,132,150
42,138,142
43,140,140
44,162,134
45,134,162
46,132,144
47,138,142
48,140,172
49,162,124
50,134,126
51,132,172
52,138,158
53,140,138
54,162,158
55,134,162
56,132,176
57,138,144
58,140,138
59,162,152
60,134,126
61,132,152
62,138,126
63,140,154
64,162,150
65,134,140
66,132,174
67,138,146
68,140,164
69,162,128
70,134,148
71,132,166
72,138,132
73,140,158
74,162,156
75,134,136
76,132,162
77,138,138
78,140,160
79,162,138
80,134,156
81,132,150
82,138,162
83,140,154
84,162,130
85,134,130
86,132,160
87,138,152
88,140,160
89,162,116
90,134,140
91,132,156
92,138,124
93,140,148
94,162,150
95,134,126
96,132,156
97,138,136
98,140,148
99,162,150
