sales_static,shortage_static,sales_dynamic,shortage_dynamic
732,50,811,68
722,168,629,128
552,270,591,277
600,251,557,287
599,382,500,307
541,396,571,376
586,346,537,288
522,435,734,207
549,302,732,114
602,257,708,138
539,288,727,150
579,324,700,127
599,296,656,113
581,291,783,152
527,360,766,135
544,355,796,192
553,302,703,153
494,321,687,121
627,270,751,116
567,232,717,143
536,306,750,182
495,294,744,137
563,358,734,147
576,235,662,129
540,303,760,184
489,254,772,195
566,228,695,143
544,349,780,166
583,313,719,123
578,292,701,222
544,359,647,317
500,239,651,256
623,395,605,259
539,273,753,205
572,346,681,190
566,283,756,158
559,289,742,152
535,343,740,254
483,352,688,124
625,296,748,142
642,340,732,119
489,317,779,121
589,349,774,114
523,272,720,101
534,281,685,125
537,323,734,156
588,290,726,129
532,277,725,136
621,266,724,109
602,335,738,152
581,281,748,186
563,365,719,150
522,430,708,139
548,301,760,166
619,308,761,129
532,273,636,232
582,290,608,306
491,339,557,315
538,318,697,200
532,293,650,226
561,293,707,240
536,296,672,105
569,310,682,148
595,294,703,116
521,335,766,144
556,348,725,92
586,358,723,145
514,292,764,166
588,222,778,152
624,277,776,210
583,396,690,156
553,349,813,166
514,362,724,161
585,292,702,115
586,305,769,143
595,299,692,140
611,277,687,131
471,415,770,162
559,275,720,141
586,299,740,101
555,356,736,159
511,336,731,176
614,338,549,300
591,246,648,202
517,296,578,191
545,347,652,159
563,243,735,136
472,412,686,138
623,300,789,96
548,412,700,131
505,341,712,194
559,278,703,127
459,290,789,117
606,320,775,104
538,236,720,128
600,296,715,215
566,290,742,149
525,362,695,115
594,307,753,92
568,384,679,182

