roomId,pos,day
0,(0:2),0
1,(7:0),0
2,(5:2),0
3,(0:2),0
4,(4:1),0
5,(1:1),0
6,(5:3),0
7,(9:7),0
8,(5:7),0
9,(3:6),0
10,(7:5),0
11,(5:7),0
12,(4:4),0
13,(0:4),0
14,(1:1),0
15,(8:1),0
16,(7:3),0
17,(8:6),0
18,(7:5),0
19,(0:0),0
20,(11:5),1
21,(12:5),1
22,(19:0),1
23,(15:1),1
24,(15:1),1
25,(13:2),1
26,(14:1),1
27,(16:1),1
28,(11:1),1
29,(17:7),1
30,(18:4),1
31,(13:7),1
32,(19:1),1
33,(13:7),1
34,(12:0),1
35,(14:1),1
36,(14:7),1
37,(19:5),1
38,(16:3),1
39,(19:5),1
40,(15:11),2
41,(17:17),2
42,(18:19),2
43,(19:17),2
44,(16:12),2
45,(18:8),2
46,(16:13),2
47,(13:14),2
48,(17:17),2
49,(14:12),2
50,(17:8),2
51,(15:12),2
52,(15:12),2
53,(16:15),2
54,(15:8),2
55,(18:17),2
56,(13:16),2
57,(17:8),2
58,(15:13),2
59,(14:17),2
60,(9:12),3
61,(8:9),3
62,(12:13),3
63,(10:16),3
64,(11:13),3
65,(12:16),3
66,(6:17),3
67,(6:9),3
68,(12:16),3
69,(6:8),3
70,(7:11),3
71,(7:14),3
72,(11:14),3
73,(7:17),3
74,(12:19),3
75,(7:14),3
76,(10:9),3
77,(10:8),3
78,(8:8),3
79,(11:19),3
80,(4:19),4
81,(0:11),4
82,(3:17),4
83,(1:15),4
84,(3:11),4
85,(5:8),4
86,(1:19),4
87,(4:16),4
88,(4:17),4
89,(3:9),4
90,(2:14),4
91,(2:15),4
92,(3:9),4
93,(1:17),4
94,(5:10),4
95,(1:13),4
96,(3:18),4
97,(2:11),4
98,(1:15),4
99,(5:8),4
0,(0:2),5
1,(7:0),5
2,(5:2),5
3,(0:2),5
4,(4:1),5
5,(1:1),5
6,(5:3),5
7,(9:7),5
8,(5:7),5
9,(3:6),5
10,(7:5),5
11,(5:7),5
12,(4:4),5
13,(0:4),5
14,(1:1),5
15,(8:1),5
16,(7:3),5
17,(8:6),5
18,(7:5),5
19,(0:0),5
20,(11:5),6
21,(12:5),6
22,(19:0),6
23,(15:1),6
24,(15:1),6
25,(13:2),6
27,(16:1),6
28,(11:1),6
29,(17:7),6
30,(18:4),6
33,(13:7),6
34,(12:0),6
35,(14:1),6
36,(14:7),6
37,(19:5),6
39,(19:5),6
49,(14:12),6
55,(18:17),6
69,(6:8),6
84,(3:11),6
2,(5:2),7
7,(9:7),7
11,(5:7),7
26,(14:1),7
40,(15:11),7
42,(18:19),7
47,(13:14),7
48,(17:17),7
49,(14:12),7
53,(16:15),7
58,(15:13),7
59,(14:17),7
67,(6:9),7
72,(11:14),7
73,(7:17),7
90,(2:14),7
91,(2:15),7
9,(3:6),8
34,(12:0),8
44,(16:12),8
45,(18:8),8
46,(16:13),8
51,(15:12),8
52,(15:12),8
55,(18:17),8
61,(8:9),8
62,(12:13),8
63,(10:16),8
65,(12:16),8
67,(6:9),8
69,(6:8),8
70,(7:11),8
71,(7:14),8
74,(12:19),8
77,(10:8),8
79,(11:19),8
40,(15:11),9
69,(6:8),9
72,(11:14),9
73,(7:17),9
81,(0:11),9
82,(3:17),9
83,(1:15),9
84,(3:11),9
85,(5:8),9
88,(4:17),9
89,(3:9),9
90,(2:14),9
94,(5:10),9
95,(1:13),9
96,(3:18),9
97,(2:11),9
0,(0:2),10
2,(5:2),10
3,(0:2),10
5,(1:1),10
8,(5:7),10
11,(5:7),10
12,(4:4),10
