sales_static,shortage_static,sales_dynamic,shortage_dynamic
902,0,897,0
978,0,882,4
850,13,879,8
946,26,927,29
898,52,830,46
856,21,827,32
941,34,800,42
790,43,978,22
884,88,967,22
968,67,896,59
900,67,937,13
915,43,863,19
834,53,821,1
889,60,969,18
871,38,948,2
883,50,961,4
873,35,995,7
913,47,1000,18
853,73,951,53
934,78,857,5
926,57,903,10
907,54,923,9
920,70,983,22
853,82,812,4
805,89,923,3
956,18,983,28
907,15,939,32
773,52,960,41
932,90,800,15
881,30,927,3
940,37,897,9
845,46,872,13
889,93,862,19
786,57,886,11
995,53,861,27
811,37,927,16
880,46,916,34
847,22,856,41
848,38,881,41
861,83,912,26
890,25,810,41
914,39,857,40
824,71,898,21
863,89,923,24
812,28,811,20
961,35,899,15
845,11,864,18
928,41,930,30
930,34,853,48
938,62,895,18
961,22,900,11
944,47,901,27
747,52,930,26
775,63,1043,10
899,61,867,32
911,52,904,38
885,37,922,13
837,77,915,55
939,90,915,19
866,39,864,10
1107,30,905,26
826,71,978,34
890,53,897,14
871,88,872,14
852,50,895,25
956,43,900,19
958,34,992,17
898,69,867,30
849,70,870,18
950,89,858,20
777,44,913,23
883,79,959,19
852,122,962,27
847,34,838,58
829,26,850,14
978,33,961,35
845,23,930,33
830,76,881,38
932,15,894,18
958,81,963,26
828,65,929,23
834,70,884,19
822,74,820,12
828,63,889,16
725,40,838,11
871,21,886,20
1040,24,970,35
919,48,922,29
861,101,933,19
914,54,857,32
857,56,925,22
901,33,926,31
821,67,866,36
894,80,900,29
895,40,1002,33
831,26,994,31
906,48,935,13
821,56,920,29
829,59,870,13
904,82,995,7

