day,time_static,time_dynamic
0,134,134
1,132,132
2,138,138
3,140,140
4,162,162
5,134,134
6,132,140
7,138,156
8,140,164
9,162,136
10,134,172
11,132,148
12,138,140
13,140,172
14,162,156
15,134,158
16,132,160
17,138,156
18,140,182
19,162,154
20,134,156
21,132,132
22,138,114
23,140,164
24,162,192
25,134,116
26,132,136
27,138,72
28,140,154
29,162,148
30,134,118
31,132,110
32,138,110
33,140,130
34,162,128
35,134,116
36,132,110
37,138,112
38,140,110
39,162,134
40,134,140
41,132,84
42,138,122
43,140,132
44,162,158
45,134,116
46,132,150
47,138,100
48,140,128
49,162,160
50,134,100
51,132,138
52,138,118
53,140,100
54,162,132
55,134,146
56,132,122
57,138,142
58,140,104
59,162,80
60,134,128
61,132,132
62,138,94
63,140,114
64,162,122
65,134,112
66,132,128
67,138,112
68,140,118
69,162,162
70,134,132
71,132,154
72,138,122
73,140,118
74,162,106
75,134,144
76,132,130
77,138,98
78,140,110
79,162,178
80,134,126
81,132,138
82,138,118
83,140,116
84,162,118
85,134,98
86,132,146
87,138,110
88,140,128
89,162,106
90,134,86
91,132,128
92,138,98
93,140,104
94,162,136
95,134,164
96,132,126
97,138,150
98,140,108
99,162,150
