simulatorType,last_rep_day,day,roomId,roomType,shortage
dynamic,0,0,34,0,0
dynamic,0,0,35,0,0
dynamic,0,0,36,0,0
dynamic,0,0,37,0,0
dynamic,0,0,38,1,0
dynamic,0,0,39,2,0
dynamic,0,0,40,0,0
dynamic,0,0,41,0,0
dynamic,0,0,42,0,0
dynamic,0,0,43,1,0
dynamic,0,0,44,2,0
dynamic,0,0,45,0,0
dynamic,0,0,46,0,1
dynamic,0,0,47,0,0
dynamic,0,0,48,0,3
dynamic,0,0,49,0,0
dynamic,0,0,50,2,0
dynamic,0,0,51,1,0
dynamic,0,0,52,1,0
dynamic,0,0,53,0,0
dynamic,0,0,54,1,0
dynamic,0,0,55,1,0
dynamic,0,0,56,2,0
dynamic,0,0,57,2,0
dynamic,0,0,58,1,0
dynamic,0,0,59,1,0
dynamic,0,0,60,2,0
dynamic,0,0,61,1,0
dynamic,0,0,62,1,0
dynamic,0,0,63,0,0
dynamic,0,0,64,0,0
dynamic,0,0,65,1,0
dynamic,0,0,66,0,0
dynamic,0,0,67,1,0
dynamic,0,0,68,1,0
dynamic,0,0,69,2,0
dynamic,0,0,70,0,0
dynamic,0,0,71,1,0
dynamic,0,0,72,0,0
dynamic,0,0,73,1,0
dynamic,0,0,74,1,0
dynamic,0,0,75,0,0
dynamic,0,0,76,1,0
dynamic,0,0,77,1,0
dynamic,0,0,78,2,0
dynamic,0,0,79,1,0
dynamic,0,0,80,1,0
dynamic,0,0,81,0,0
dynamic,0,0,82,1,0
dynamic,0,0,83,0,0
dynamic,0,0,84,1,0
dynamic,0,0,85,2,0
dynamic,0,0,86,0,0
dynamic,0,0,87,1,0
dynamic,0,0,88,0,0
dynamic,0,0,89,1,0
dynamic,0,0,90,0,0
dynamic,0,0,91,2,0
dynamic,0,0,92,0,0
dynamic,0,0,93,0,0
dynamic,0,0,94,2,0
dynamic,0,0,95,2,0
dynamic,0,0,96,0,0
dynamic,0,0,97,0,0
dynamic,0,0,98,0,0
dynamic,0,0,99,0,0
static,0,1,0,0,0
static,0,1,1,0,0
static,0,1,2,1,0
static,0,1,3,1,0
static,0,1,4,0,0
static,0,1,5,2,0
static,0,1,6,0,1
static,0,1,7,0,0
static,0,1,8,0,0
static,0,1,9,1,0
static,0,1,10,1,0
static,0,1,11,2,0
static,0,1,12,2,0
static,0,1,13,1,0
static,0,1,14,1,0
static,0,1,15,0,0
static,0,1,16,1,0
static,0,1,17,0,0
static,0,1,18,0,0
static,0,1,19,0,0
static,0,1,20,2,0
static,0,1,21,0,0
static,0,1,22,0,3
static,0,1,23,1,0
static,0,1,24,0,0
static,0,1,25,2,0
static,0,1,26,0,1
static,0,1,27,2,0
static,0,1,28,1,0
static,0,1,29,2,0
static,0,1,30,2,0
static,0,1,31,1,0
static,0,1,32,0,0
static,0,1,33,1,0
static,0,1,34,0,0
static,0,1,35,0,0
static,0,1,36,0,0
static,0,1,37,0,0
static,0,1,38,1,0
static,0,1,39,2,0
static,0,1,40,0,0
static,0,1,41,0,0
static,0,1,42,0,0
static,0,1,43,1,0
static,0,1,44,2,0
static,0,1,45,0,1
static,0,1,46,0,3
static,0,1,47,0,0
static,0,1,48,0,0
static,0,1,49,0,0
static,0,1,50,2,0
static,0,1,51,1,3
static,0,1,52,1,0
static,0,1,53,0,0
static,0,1,54,1,0
static,0,1,55,1,0
static,0,1,56,2,0
static,0,1,57,2,0
static,0,1,58,1,0
static,0,1,59,1,0
static,0,1,60,2,0
static,0,1,61,1,0
static,0,1,62,1,0
static,0,1,63,0,0
static,0,1,64,0,0
static,0,1,65,1,0
static,0,1,66,0,0
static,0,1,67,1,0
static,0,1,68,1,0
static,0,1,69,2,0
static,0,1,70,0,0
static,0,1,71,1,0
static,0,1,72,0,0
static,0,1,73,1,0
static,0,1,74,1,0
static,0,1,75,0,0
static,0,1,76,1,0
static,0,1,77,1,0
static,0,1,78,2,0
static,0,1,79,1,0
static,0,1,80,1,0
static,0,1,81,0,5
static,0,1,82,1,0
static,0,1,83,0,0
static,0,1,84,1,0
static,0,1,85,2,0
static,0,1,86,0,5
static,0,1,87,1,0
static,0,1,88,0,0
static,0,1,89,1,0
static,0,1,90,0,0
static,0,1,91,2,0
static,0,1,92,0,0
static,0,1,93,0,0
static,0,1,94,2,0
static,0,1,95,2,0
static,0,1,96,0,1
static,0,1,97,0,1
static,0,1,98,0,0
static,0,1,99,0,0
dynamic,0,1,0,0,0
dynamic,0,1,1,0,0
dynamic,0,1,2,1,0
dynamic,0,1,3,1,0
dynamic,0,1,4,0,0
dynamic,0,1,5,2,0
dynamic,0,1,6,0,0
dynamic,0,1,7,0,0
dynamic,0,1,8,0,0
dynamic,0,1,9,1,0
dynamic,0,1,10,1,0
dynamic,0,1,11,2,0
dynamic,0,1,12,2,0
dynamic,0,1,13,1,0
dynamic,0,1,14,1,0
dynamic,0,1,15,0,0
dynamic,0,1,16,1,0
dynamic,0,1,17,0,0
dynamic,0,1,18,0,0
dynamic,0,1,19,0,0
dynamic,0,1,20,2,0
dynamic,0,1,21,0,0
dynamic,0,1,22,0,0
dynamic,0,1,23,1,0
dynamic,0,1,24,0,0
dynamic,0,1,25,2,0
dynamic,0,1,26,0,0
dynamic,0,1,27,2,0
dynamic,0,1,28,1,0
dynamic,0,1,29,2,0
dynamic,0,1,30,2,0
dynamic,0,1,31,1,0
dynamic,0,1,32,0,0
dynamic,0,1,33,1,0
dynamic,0,1,34,0,2
dynamic,0,1,35,0,0
dynamic,0,1,36,0,0
dynamic,0,1,37,0,0
dynamic,0,1,38,1,0
dynamic,0,1,39,2,0
dynamic,0,1,40,0,0
dynamic,0,1,41,0,0
dynamic,0,1,42,0,0
dynamic,0,1,43,1,0
dynamic,0,1,44,2,0
dynamic,0,1,45,0,0
dynamic,0,1,46,0,3
dynamic,0,1,47,0,0
dynamic,0,1,48,0,2
dynamic,0,1,49,0,0
dynamic,0,1,50,2,0
dynamic,0,1,51,1,0
dynamic,0,1,52,1,0
dynamic,0,1,53,0,0
dynamic,0,1,54,1,0
dynamic,0,1,55,1,0
dynamic,0,1,56,2,0
dynamic,0,1,57,2,0
dynamic,0,1,58,1,0
dynamic,0,1,59,1,0
dynamic,0,1,60,2,0
dynamic,0,1,61,1,0
dynamic,0,1,62,1,0
dynamic,0,1,63,0,0
dynamic,0,1,64,0,0
dynamic,0,1,65,1,0
dynamic,0,1,66,0,2
dynamic,0,1,67,1,0
dynamic,0,1,68,1,0
dynamic,0,1,69,2,0
dynamic,0,1,70,0,0
dynamic,0,1,71,1,0
dynamic,0,1,72,0,0
dynamic,0,1,73,1,0
dynamic,0,1,74,1,0
dynamic,0,1,75,0,0
dynamic,0,1,76,1,0
dynamic,0,1,77,1,0
dynamic,0,1,78,2,0
dynamic,0,1,79,1,0
dynamic,0,1,80,1,0
dynamic,0,1,81,0,3
dynamic,0,1,82,1,0
dynamic,0,1,83,0,0
dynamic,0,1,84,1,0
dynamic,0,1,85,2,0
dynamic,0,1,86,0,1
dynamic,0,1,87,1,0
dynamic,0,1,88,0,0
dynamic,0,1,89,1,0
dynamic,0,1,90,0,0
dynamic,0,1,91,2,0
dynamic,0,1,92,0,0
dynamic,0,1,93,0,0
dynamic,0,1,94,2,0
dynamic,0,1,95,2,0
dynamic,0,1,96,0,0
dynamic,0,1,97,0,1
dynamic,0,1,98,0,0
dynamic,0,1,99,0,0
static,0,2,0,0,2
static,0,2,1,0,1
static,0,2,2,1,0
static,0,2,3,1,0
static,0,2,4,0,1
static,0,2,5,2,0
static,0,2,6,0,2
