roomId,pos,day
0,(9:9),0
1,(4:36),0
2,(0:19),0
3,(0:25),0
4,(0:34),0
5,(0:4),0
6,(9:7),0
7,(0:22),0
8,(4:26),0
9,(0:31),0
10,(6:3),0
11,(8:16),0
12,(5:35),0
13,(6:29),0
14,(2:8),0
15,(6:11),0
16,(8:18),0
17,(6:15),0
18,(8:14),0
19,(4:34),0
20,(17:32),1
21,(45:19),1
22,(84:1),1
23,(13:26),1
24,(34:27),1
25,(39:24),1
26,(96:17),1
27,(48:34),1
28,(16:36),1
29,(21:24),1
30,(31:25),1
31,(93:10),1
32,(96:3),1
33,(75:6),1
34,(91:39),1
35,(86:15),1
36,(82:1),1
37,(88:38),1
38,(93:20),1
39,(89:34),1
40,(84:82),2
41,(69:51),2
42,(89:91),2
43,(69:56),2
44,(94:95),2
45,(71:69),2
46,(70:41),2
47,(69:47),2
48,(69:63),2
49,(92:40),2
50,(76:59),2
51,(90:64),2
52,(96:96),2
53,(79:94),2
54,(94:59),2
55,(91:73),2
56,(79:62),2
57,(71:40),2
58,(90:56),2
59,(83:60),2
60,(54:52),3
61,(61:77),3
62,(40:49),3
63,(40:54),3
64,(46:43),3
65,(40:80),3
66,(62:45),3
67,(35:89),3
68,(48:92),3
69,(52:69),3
70,(53:71),3
71,(63:64),3
72,(51:58),3
73,(44:55),3
74,(65:96),3
75,(59:43),3
76,(47:95),3
77,(45:48),3
78,(63:68),3
79,(51:77),3
80,(26:49),4
81,(5:57),4
82,(3:67),4
83,(32:81),4
84,(19:97),4
85,(25:49),4
86,(30:85),4
87,(16:41),4
88,(16:70),4
89,(11:57),4
90,(20:83),4
91,(21:93),4
92,(26:87),4
93,(25:95),4
94,(1:78),4
95,(25:46),4
96,(24:65),4
97,(9:56),4
98,(9:67),4
99,(12:83),4
0,(9:9),5
1,(4:36),5
2,(0:19),5
3,(0:25),5
4,(0:34),5
5,(0:4),5
6,(9:7),5
7,(0:22),5
8,(4:26),5
9,(0:31),5
10,(6:3),5
11,(8:16),5
12,(5:35),5
13,(6:29),5
14,(2:8),5
15,(6:11),5
16,(8:18),5
17,(6:15),5
18,(8:14),5
19,(4:34),5
23,(13:26),6
24,(34:27),6
28,(16:36),6
33,(75:6),6
34,(91:39),6
36,(82:1),6
38,(93:20),6
42,(89:91),6
50,(76:59),6
55,(91:73),6
64,(46:43),6
68,(48:92),6
72,(51:58),6
73,(44:55),6
79,(51:77),6
86,(30:85),6
87,(16:41),6
92,(26:87),6
94,(1:78),6
97,(9:56),6
0,(9:9),7
8,(4:26),7
9,(0:31),7
16,(8:18),7
25,(39:24),7
29,(21:24),7
35,(86:15),7
39,(89:34),7
42,(89:91),7
43,(69:56),7
45,(71:69),7
49,(92:40),7
50,(76:59),7
52,(96:96),7
53,(79:94),7
55,(91:73),7
